V1,V2,V3
0.864172335649075,0.001,0.867454941722873
0.503156301723429,0.001,0.918154082556699
0.0666591748375866,0.709810623912923,0.0559061996906197
0.157222681712794,0.620028134703215,0.09412846283598
0.463944067819747,0.933929687493023,0.193244080679408
0.157909023046994,0.363737771374315,0.059141074613426
0.129071875492473,0.165525526848618,0.0219395921249123
0.453908487213928,0.932187128430212,0.304651179978751
0.222128734597887,0.747150312386557,0.107489534943956
0.641829831920797,0.999,0.697285803272471
0.488564947073273,0.001,0.614478652765949
0.162189225110675,0.878539674872067,0.146660363000657
0.216451169303469,0.912785546288888,0.189107689824121
0.110816395456904,0.624453171491284,0.001
0.0679745011483792,0.544542381572348,0.0498727434575393
0.001,0.576003701879357,0.243001720216183
0.147675888911441,0.799092977545598,0.131558969459761
0.328322963499265,0.999,0.322864675176141
0.45320390830901,0.999,0.299128601206998
0.28867022562267,0.999,0.0797496620604926
0.331778448655449,0.987599654954136,0.123774059795808
0.427035100966778,0.924782051424816,0.0311888433370179
0.276791791988475,0.665885321449162,0.0175945706532699
0.292308840554438,0.722480972570004,0.105907437887942
0.427483771761416,0.388443115836967,0.0895836829540563
0.0514144815183199,0.0944350254883867,0.001
0.165933357567393,0.276057998416228,0.001
0.0818270579397546,0.1422250660059,0.00148588800970503
0.381384833915109,0.421610767037615,0.001
0.305382672911686,0.153887657672439,0.999
0.276208196833912,0.001,0.881224556714752
0.589798543470191,0.409859805642547,0.001
0.293324262116856,0.93630538564634,0.528370123375881
0.802006891449982,0.353929701592121,0.987310009317597
0.185738666505449,0.990780181557503,0.667350979102626
0.640050303156132,0.39563259508861,0.001
0.887753395572145,0.999,0.113650999556422
0.0564646944720647,0.0698577395381488,0.999
0.663463476797815,0.484800769263975,0.999
0.619326330197414,0.475345741816646,0.999
0.320884162814978,0.458791620283992,0.001
0.385044022772749,0.778004548851643,0.0277619481149371
0.999,0.001,0.479150785438185
0.999,0.405027843185738,0.232303668774202
0.999,0.18007749292198,0.706706427824444
0.999,0.245848847389419,0.712777956861778
0.254146954163973,0.301858620746968,0.001
0.421310147599924,0.360662216573185,0.001
0.545276222081561,0.29833616653995,0.001
0.357211904796591,0.350207392828694,0.001
0.135717755533107,0.35864950364835,0.0186470301219767
0.204244658820773,0.37683848563117,0.001
0.781274032105096,0.959094146708522,0.001
0.483208527083287,0.577039899512306,0.001
0.610918532405886,0.439415908559254,0.001
0.0541297182196518,0.627859679047172,0.151998306683544
0.0815838693830191,0.303858171795658,0.001
0.001,0.797709798139515,0.280622922030986
0.340935311086967,0.999,0.213975674193458
0.205240514230089,0.999,0.298628561202842
0.001,0.999,0.325345158866927
0.001,0.671934065436445,0.135364497597051
0.0964582462112781,0.553339615883354,0.091066007623523
0.0779711669143292,0.54049674688184,0.0790664599057892
0.001,0.609539672266247,0.107574915182224
0.0967143158521118,0.495228524276875,0.0765296538740751
0.878928657458767,0.001,0.630863703006407
0.226634231785965,0.999,0.536383827755784
0.444539130372312,0.999,0.606901091371188
0.093152877344327,0.999,0.506348840159691
0.999,0.001,0.575353101324067
0.0322925309965617,0.999,0.224340357469595
0.76514485898476,0.0659494304675584,0.660499120704895
0.273512409854883,0.999,0.44340102832772
0.249994175804652,0.999,0.405525935066205
0.937321965930719,0.146290005323103,0.9109804897244
0.00240922719974079,0.687141693018956,0.213374024188235
0.001,0.999,0.301217129904284
0.216968093733291,0.807848741283893,0.111850440695381
0.001,0.744281745173088,0.160853674902584
0.0495146229999889,0.814753152720803,0.449343182432969
0.0362589804752107,0.272143324936774,0.0600788520694319
0.153321602840656,0.561925978954779,0.0767074482852969
0.170400988517287,0.43344442061166,0.001
0.464267546733647,0.791963347903243,0.429195139534607
0.0740055272279964,0.474064597629262,0.0978779238612707
0.132387257469264,0.650795411343799,0.118549248023713
0.219163134689727,0.256865490023844,0.0434289699029596
0.001,0.999,0.612093126113257
0.851398527908309,0.387411825252075,0.959387543889736
0.852980117418017,0.554468927603004,0.898624213321904
0.246887677110764,0.882438818572623,0.251739554864343
0.401860518215345,0.999,0.417045714432192
0.355247540952345,0.999,0.461772292436675
0.323385739225939,0.891594704408802,0.234756684577633
0.439346314558237,0.999,0.66058413139868
0.396410172623788,0.915604222786383,0.34215039604823
0.148699225354447,0.999,0.206363838662245
0.163693330874335,0.999,0.103631525468203
0.449222709191222,0.999,0.0107879986149906
0.0154968664505519,0.0201146155454175,0.00138648781257453
0.104163671587845,0.16728270513403,0.001
0.0500635543580997,0.0443898417901452,0.001
0.180907434033782,0.227673634433373,0.001
0.594227835439677,0.649997186471058,0.136151986709838
0.534569179085442,0.626843524516073,0.279561274160722
0.470153277742519,0.985351051535955,0.001
0.456704210353909,0.999,0.15633980168309
0.52251971670215,0.6419926653935,0.001
0.288336580624438,0.290417144632444,0.001
0.756195315673402,0.61476152006286,0.001
0.912545907809039,0.773546113983519,0.044278569229964
0.938993839830913,0.710801529209281,0.869907860222473
0.973683122359965,0.645282763330155,0.795429692660128
0.751355713679621,0.225828935538259,0.611345161742066
0.999,0.271335458985057,0.661708096039897
